T,M,LW,LW_t,LW_h,T_k
48.98989899,5.515151515,14.08,17.38302289,17.38302289,321.989899
48.98989899,5.580808081,13.69,16.99302289,16.99302289,321.989899
48.98989899,5.646464646,13.28,16.58302289,16.58302289,321.989899
48.98989899,5.712121212,12.84,16.14302289,16.14302289,321.989899
48.98989899,5.777777778,12.36,15.66302289,15.66302289,321.989899
48.98989899,5.843434343,NaN,NaN,#VALUE!,321.989899
48.98989899,5.909090909,NaN,NaN,#VALUE!,321.989899
48.98989899,5.974747475,NaN,NaN,#VALUE!,321.989899
48.98989899,6.04040404,NaN,NaN,#VALUE!,321.989899
48.98989899,6.106060606,NaN,NaN,#VALUE!,321.989899
48.98989899,6.171717172,NaN,NaN,#VALUE!,321.989899
48.98989899,6.237373737,NaN,NaN,#VALUE!,321.989899
48.98989899,6.303030303,NaN,NaN,#VALUE!,321.989899
48.98989899,6.368686869,NaN,NaN,#VALUE!,321.989899
48.98989899,6.434343434,NaN,NaN,#VALUE!,321.989899
48.98989899,6.5,NaN,NaN,#VALUE!,321.989899
48.48484848,0,0,3.15266935,3.15266935,321.4848485
48.48484848,0.065656566,0.33,3.48266935,3.48266935,321.4848485
48.48484848,0.131313131,0.66,3.81266935,3.81266935,321.4848485
48.48484848,0.196969697,1,4.15266935,4.15266935,321.4848485
48.48484848,0.262626263,1.33,4.48266935,4.48266935,321.4848485
48.48484848,0.328282828,1.66,4.81266935,4.81266935,321.4848485
48.48484848,0.393939394,2,5.15266935,5.15266935,321.4848485
48.48484848,0.45959596,2.34,5.49266935,5.49266935,321.4848485
48.48484848,0.525252525,2.68,5.83266935,5.83266935,321.4848485
48.48484848,0.590909091,3.02,6.17266935,6.17266935,321.4848485
48.48484848,0.656565657,3.35,6.50266935,6.50266935,321.4848485
48.48484848,0.722222222,3.69,6.84266935,6.84266935,321.4848485
48.48484848,0.787878788,4.03,7.18266935,7.18266935,321.4848485
48.48484848,0.853535354,4.37,7.52266935,7.52266935,321.4848485
48.48484848,0.919191919,4.71,7.86266935,7.86266935,321.4848485
48.48484848,0.984848485,5.05,8.20266935,8.20266935,321.4848485
48.48484848,1.050505051,5.38,8.53266935,8.53266935,321.4848485
48.48484848,1.116161616,5.72,8.87266935,8.87266935,321.4848485
48.48484848,1.181818182,6.05,9.20266935,9.20266935,321.4848485
48.48484848,1.247474747,6.38,9.53266935,9.53266935,321.4848485
48.48484848,1.313131313,6.71,9.86266935,9.86266935,321.4848485
48.48484848,1.378787879,7.04,10.19266935,10.19266935,321.4848485
48.48484848,1.444444444,7.36,10.51266935,10.51266935,321.4848485
48.48484848,1.51010101,7.69,10.84266935,10.84266935,321.4848485
48.48484848,1.575757576,8.01,11.16266935,11.16266935,321.4848485
48.48484848,1.641414141,8.33,11.48266935,11.48266935,321.4848485
48.48484848,1.707070707,8.65,11.80266935,11.80266935,321.4848485
48.48484848,1.772727273,8.96,12.11266935,12.11266935,321.4848485
48.48484848,1.838383838,9.27,12.42266935,12.42266935,321.4848485
48.48484848,1.904040404,9.58,12.73266935,12.73266935,321.4848485
48.48484848,1.96969697,9.88,13.03266935,13.03266935,321.4848485
48.48484848,2.035353535,10.18,13.33266935,13.33266935,321.4848485
48.48484848,2.101010101,10.48,13.63266935,13.63266935,321.4848485
48.48484848,2.166666667,10.78,13.93266935,13.93266935,321.4848485
48.48484848,2.232323232,11.07,14.22266935,14.22266935,321.4848485
48.48484848,2.297979798,11.35,14.50266935,14.50266935,321.4848485
48.48484848,2.363636364,11.63,14.78266935,14.78266935,321.4848485
48.48484848,2.429292929,11.91,15.06266935,15.06266935,321.4848485
48.48484848,2.494949495,12.18,15.33266935,15.33266935,321.4848485
